ev,negyedev,osszetetes_haszn,tiszta_haszn,teljes_haszn,osszetetes_uj,tiszta_uj,teljes_uj,osszevont_index,idoszak
2021,I.,95.7,193.9,185.6,114.7,208,238.5,196,2021 I.
2021,II.,89.2,202,180.1,112.7,219.1,247,204.4,2021 II.
2021,III.,82.9,209.8,174,110.1,224.4,247.1,211.9,2021 III.
2021,IV.,88.1,217.3,191.4,106.5,235.3,250.7,219.9,2021 IV.
2022,I.,95.2,238.6,227.3,119,258.1,307.1,241.4,2022 I.
2022,II.,83.9,252.8,212,105.6,268.9,284.1,255.2,2022 II.
2022,III.,74.7,261.5,195.3,102.7,270,277.4,263,2022 III.
2022,IV.,72.7,254.9,185.3,107.3,280.4,300.8,258.4,2022 IV.
2023,I.,80.2,265.4,212.9,110.2,290,319.5,268.8,2023 I.
2023,II.,80.5,265.3,213.5,110,313.7,345.2,271.5,2023 II.
2023,III.,81.2,267,216.8,100.7,310.1,312.2,272.6,2023 III.
2023,IV.,90.8,270.2,245.4,104.2,326,339.6,277.4,2023 IV.
2024,I.,97.5,294,286.6,107.2,345,369.8,301,2024 I.
2024,II.,94.2,299.4,282.1,105.3,350.8,369.5,306.5,2024 II.
2024,III.,90.8,302.5,274.7,103.8,356.5,370.2,309.8,2024 III.
2024,IV.,98,314.2,307.8,103.5,373.5,386.5,322.1,2024 IV.
2025,I.,96.1,346.2,332.7,112.5,385.1,433.3,352.3,2025 I.
2025,II.,88.3,350.7,309.5,111.5,395.6,441.1,357.4,2025 II.
2025,III.,90.7,376.4,341.6,101.6,405.9,412.4,381.8,2025 III.
2025,IV.,96.2,387.2,372.5,106.1,401.1,425.7,391,2025 IV.
"Előző időszak = 100,0%",,,,,,,,,
2021,I.,119.3,109.4,130.5,112.8,109.5,123.5,109.4,2021 I.
2021,II.,93.2,104.2,97,98.3,105.3,103.5,104.3,2021 II.
2021,III.,93,103.9,96.6,97.7,102.4,100,103.7,2021 III.
2021,IV.,106.3,103.6,110,96.7,104.9,101.5,103.7,2021 IV.
2022,I.,108.1,109.8,118.8,111.7,109.7,122.5,109.8,2022 I.
2022,II.,88,105.9,93.3,88.8,104.2,92.5,105.7,2022 II.
2022,III.,89.1,103.4,92.1,97.2,100.4,97.6,103,2022 III.
2022,IV.,97.3,97.5,94.9,104.5,103.8,108.5,98.3,2022 IV.
2023,I.,110.4,104.1,114.9,102.7,103.4,106.2,104,2023 I.
2023,II.,100.3,100,100.3,99.9,108.2,108,101,2023 II.
2023,III.,100.9,100.6,101.5,91.5,98.8,90.4,100.4,2023 III.
2023,IV.,111.8,101.2,113.2,103.5,105.1,108.8,101.7,2023 IV.
2024,I.,107.4,108.8,116.8,102.9,105.8,108.9,108.6,2024 I.
2024,II.,96.7,101.8,98.4,98.3,101.7,99.9,101.8,2024 II.
2024,III.,96.4,101,97.4,98.6,101.6,100.2,101.1,2024 III.
2024,IV.,107.9,103.9,112,99.7,104.8,104.4,104,2024 IV.
2025,I.,98.1,110.2,108.1,108.7,103.1,112.1,109.4,2025 I.
2025,II.,91.9,101.3,93,99.1,102.7,101.8,101.4,2025 II.
2025,III.,102.8,107.4,110.4,91.1,102.6,93.5,106.8,2025 III.
2025,IV.,106,102.9,109,104.4,98.8,103.2,102.4,2025 IV.
"Az előző év azonos időszaka = 100,0%",,,,,,,,,
2021,I.,108.6,108.8,118.1,111.5,115.5,128.8,109.6,2021 I.
2021,II.,111,116.6,129.3,101.3,118.8,120.4,116.9,2021 II.
2021,III.,99,116.3,115.2,104.1,119.5,124.4,116.7,2021 III.
2021,IV.,109.8,122.6,134.6,104.7,123.9,129.8,122.8,2021 IV.
2022,I.,99.5,123.1,122.5,103.7,124.1,128.7,123.2,2022 I.
2022,II.,94,125.2,117.7,93.7,122.7,115,124.9,2022 II.
2022,III.,90.1,124.6,112.2,93.3,120.3,112.3,124.1,2022 III.
2022,IV.,82.5,117.3,96.8,100.7,119.1,120,117.5,2022 IV.
2023,I.,84.2,111.2,93.7,92.6,112.3,104,111.3,2023 I.
2023,II.,96,104.9,100.7,104.1,116.6,121.5,106.4,2023 II.
2023,III.,108.7,102.1,111,98,114.8,112.5,103.7,2023 III.
2023,IV.,124.9,106,132.4,97.1,116.3,112.9,107.3,2023 IV.
2024,I.,121.5,110.8,134.6,97.3,119,115.7,112,2024 I.
2024,II.,117.1,112.9,132.1,95.7,111.8,107.1,112.9,2024 II.
2024,III.,111.8,113.3,126.7,103.1,115,118.6,113.6,2024 III.
2024,IV.,107.9,116.3,125.4,99.3,114.6,113.8,116.2,2024 IV.
2025,I.,98.6,117.8,116.1,104.9,111.6,117.2,117,2025 I.
2025,II.,93.7,117.1,109.7,105.9,112.7,119.4,116.6,2025 II.
2025,III.,99.9,124.4,124.4,97.9,113.8,111.4,123.2,2025 III.
2025,IV.,98.2,123.2,121,102.6,107.4,110.1,121.4,2025 IV.
