regio,telepulestipus,lakastipus,idoszak,atlagár_mFt
Budapest,főváros,Használt lakások,2021. I.,39.9
Budapest,főváros,Használt lakások,2021. II.,40.1
Budapest,főváros,Használt lakások,2021. III.,40.2
Budapest,főváros,Használt lakások,2021. IV.,41.6
Budapest,főváros,Használt lakások,2022. I.,46.3
Budapest,főváros,Használt lakások,2022. II.,50
Budapest,főváros,Használt lakások,2022. III.,50.4
Budapest,főváros,Használt lakások,2022. IV.,49.3
Budapest,főváros,Használt lakások,2023. I.,51.7
Budapest,főváros,Használt lakások,2023. II.,51.9
Budapest,főváros,Használt lakások,2023. III.,50.5
Budapest,főváros,Használt lakások,2023. IV.,51.6
Budapest,főváros,Használt lakások,2024. I.,53.8
Budapest,főváros,Használt lakások,2024. II.,57.1
Budapest,főváros,Használt lakások,2024. III.,56.2
Budapest,főváros,Használt lakások,2024. IV.,58
Budapest,főváros,Használt lakások,2025. I.,65.5
Budapest,főváros,Használt lakások,2025. II.,69
Budapest,főváros,Használt lakások,2025. III.,66.8
Budapest,főváros,Használt lakások,2025. IV.,67.7
Pest,városok,Használt lakások,2021. I.,38.3
Pest,városok,Használt lakások,2021. II.,38.9
Pest,városok,Használt lakások,2021. III.,41.9
Pest,városok,Használt lakások,2021. IV.,48.2
Pest,városok,Használt lakások,2022. I.,46.9
Pest,városok,Használt lakások,2022. II.,49.8
Pest,városok,Használt lakások,2022. III.,49.3
Pest,városok,Használt lakások,2022. IV.,48.6
Pest,városok,Használt lakások,2023. I.,46.7
Pest,városok,Használt lakások,2023. II.,48.5
Pest,városok,Használt lakások,2023. III.,46
Pest,városok,Használt lakások,2023. IV.,47.9
Pest,városok,Használt lakások,2024. I.,53
Pest,városok,Használt lakások,2024. II.,54.2
Pest,városok,Használt lakások,2024. III.,53
Pest,városok,Használt lakások,2024. IV.,54.5
Pest,városok,Használt lakások,2025. I.,58.7
Pest,városok,Használt lakások,2025. II.,58.4
Pest,városok,Használt lakások,2025. III.,61.9
Pest,városok,Használt lakások,2025. IV.,65.6
Pest,községek,Használt lakások,2021. I.,31.9
Pest,községek,Használt lakások,2021. II.,31.8
Pest,községek,Használt lakások,2021. III.,31.7
Pest,községek,Használt lakások,2021. IV.,40.2
Pest,községek,Használt lakások,2022. I.,37.4
Pest,községek,Használt lakások,2022. II.,40.5
Pest,községek,Használt lakások,2022. III.,36.2
Pest,községek,Használt lakások,2022. IV.,33.3
Pest,községek,Használt lakások,2023. I.,33.8
Pest,községek,Használt lakások,2023. II.,35.9
Pest,községek,Használt lakások,2023. III.,34.8
Pest,községek,Használt lakások,2023. IV.,37
Pest,községek,Használt lakások,2024. I.,45.4
Pest,községek,Használt lakások,2024. II.,44.8
Pest,községek,Használt lakások,2024. III.,40.6
Pest,községek,Használt lakások,2024. IV.,44.1
Pest,községek,Használt lakások,2025. I.,45.2
Pest,községek,Használt lakások,2025. II.,43.8
Pest,községek,Használt lakások,2025. III.,50.7
Pest,községek,Használt lakások,2025. IV.,53.1
Pest,együtt,Használt lakások,2021. I.,36.5
Pest,együtt,Használt lakások,2021. II.,36.6
Pest,együtt,Használt lakások,2021. III.,38.8
Pest,együtt,Használt lakások,2021. IV.,45.7
Pest,együtt,Használt lakások,2022. I.,43.9
Pest,együtt,Használt lakások,2022. II.,46.7
Pest,együtt,Használt lakások,2022. III.,44.9
Pest,együtt,Használt lakások,2022. IV.,43.5
Pest,együtt,Használt lakások,2023. I.,43
Pest,együtt,Használt lakások,2023. II.,44.6
Pest,együtt,Használt lakások,2023. III.,42.7
Pest,együtt,Használt lakások,2023. IV.,44.9
Pest,együtt,Használt lakások,2024. I.,50.9
Pest,együtt,Használt lakások,2024. II.,51.5
Pest,együtt,Használt lakások,2024. III.,49.4
Pest,együtt,Használt lakások,2024. IV.,51.4
Pest,együtt,Használt lakások,2025. I.,55
Pest,együtt,Használt lakások,2025. II.,54.3
Pest,együtt,Használt lakások,2025. III.,58.6
Pest,együtt,Használt lakások,2025. IV.,62
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2021. I.,25.5
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2021. II.,26.7
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2021. III.,27.2
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2021. IV.,29
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2022. I.,32.6
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2022. II.,36.3
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2022. III.,34.1
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2022. IV.,32.5
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2023. I.,33.3
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2023. II.,34.6
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2023. III.,35
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2023. IV.,33.7
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2024. I.,35.6
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2024. II.,38.2
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2024. III.,37.6
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2024. IV.,39.1
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2025. I.,43.1
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2025. II.,46.3
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2025. III.,47
Közép-Dunántúl,vármegyeszékhely,Használt lakások,2025. IV.,50.5
Közép-Dunántúl,városok,Használt lakások,2021. I.,21.4
Közép-Dunántúl,városok,Használt lakások,2021. II.,23.4
Közép-Dunántúl,városok,Használt lakások,2021. III.,22.4
Közép-Dunántúl,városok,Használt lakások,2021. IV.,23
Közép-Dunántúl,városok,Használt lakások,2022. I.,26.6
Közép-Dunántúl,városok,Használt lakások,2022. II.,28.6
Közép-Dunántúl,városok,Használt lakások,2022. III.,27.9
Közép-Dunántúl,városok,Használt lakások,2022. IV.,26.5
Közép-Dunántúl,városok,Használt lakások,2023. I.,27.8
Közép-Dunántúl,városok,Használt lakások,2023. II.,28.9
Közép-Dunántúl,városok,Használt lakások,2023. III.,31
Közép-Dunántúl,városok,Használt lakások,2023. IV.,30.3
Közép-Dunántúl,városok,Használt lakások,2024. I.,31.7
Közép-Dunántúl,városok,Használt lakások,2024. II.,33.5
Közép-Dunántúl,városok,Használt lakások,2024. III.,34.1
Közép-Dunántúl,városok,Használt lakások,2024. IV.,33.2
Közép-Dunántúl,városok,Használt lakások,2025. I.,35.3
Közép-Dunántúl,városok,Használt lakások,2025. II.,38.1
Közép-Dunántúl,városok,Használt lakások,2025. III.,37.6
Közép-Dunántúl,városok,Használt lakások,2025. IV.,41.5
Közép-Dunántúl,községek,Használt lakások,2021. I.,18.8
Közép-Dunántúl,községek,Használt lakások,2021. II.,18.8
Közép-Dunántúl,községek,Használt lakások,2021. III.,18.9
Közép-Dunántúl,községek,Használt lakások,2021. IV.,19.2
Közép-Dunántúl,községek,Használt lakások,2022. I.,23.1
Közép-Dunántúl,községek,Használt lakások,2022. II.,22.8
Közép-Dunántúl,községek,Használt lakások,2022. III.,21.7
Közép-Dunántúl,községek,Használt lakások,2022. IV.,21.9
Közép-Dunántúl,községek,Használt lakások,2023. I.,22.6
Közép-Dunántúl,községek,Használt lakások,2023. II.,23
Közép-Dunántúl,községek,Használt lakások,2023. III.,23.7
Közép-Dunántúl,községek,Használt lakások,2023. IV.,25.2
Közép-Dunántúl,községek,Használt lakások,2024. I.,28.1
Közép-Dunántúl,községek,Használt lakások,2024. II.,28.6
Közép-Dunántúl,községek,Használt lakások,2024. III.,28.8
Közép-Dunántúl,községek,Használt lakások,2024. IV.,31
Közép-Dunántúl,községek,Használt lakások,2025. I.,32.4
Közép-Dunántúl,községek,Használt lakások,2025. II.,33.2
Közép-Dunántúl,községek,Használt lakások,2025. III.,33.7
Közép-Dunántúl,községek,Használt lakások,2025. IV.,35.6
Közép-Dunántúl,együtt,Használt lakások,2021. I.,21.7
Közép-Dunántúl,együtt,Használt lakások,2021. II.,22.7
Közép-Dunántúl,együtt,Használt lakások,2021. III.,22.3
Közép-Dunántúl,együtt,Használt lakások,2021. IV.,23.4
Közép-Dunántúl,együtt,Használt lakások,2022. I.,27.2
Közép-Dunántúl,együtt,Használt lakások,2022. II.,28.3
Közép-Dunántúl,együtt,Használt lakások,2022. III.,27
Közép-Dunántúl,együtt,Használt lakások,2022. IV.,26
Közép-Dunántúl,együtt,Használt lakások,2023. I.,27.5
Közép-Dunántúl,együtt,Használt lakások,2023. II.,28
Közép-Dunántúl,együtt,Használt lakások,2023. III.,29.4
Közép-Dunántúl,együtt,Használt lakások,2023. IV.,29.8
Közép-Dunántúl,együtt,Használt lakások,2024. I.,31.9
Közép-Dunántúl,együtt,Használt lakások,2024. II.,33.2
Közép-Dunántúl,együtt,Használt lakások,2024. III.,33.4
Közép-Dunántúl,együtt,Használt lakások,2024. IV.,34.3
Közép-Dunántúl,együtt,Használt lakások,2025. I.,36.8
Közép-Dunántúl,együtt,Használt lakások,2025. II.,38.6
Közép-Dunántúl,együtt,Használt lakások,2025. III.,39.1
Közép-Dunántúl,együtt,Használt lakások,2025. IV.,42.2
Nyugat-Dunántúl,vármegyeszékhely,Használt lakások,2021. I.,24.7
Nyugat-Dunántúl,vármegyeszékhely,Használt lakások,2021. II.,25.5
Nyugat-Dunántúl,vármegyeszékhely,Használt lakások,2021. III.,26.2
Nyugat-Dunántúl,vármegyeszékhely,Használt lakások,2021. IV.,27.4
Nyugat-Dunántúl,vármegyeszékhely,Használt lakások,2022. I.,31.2
Nyugat-Dunántúl,vármegyeszékhely,Használt lakások,2022. II.,34.1
