regio,epulettipus,lakastipus,idoszak,atlagár_mFt
Budapest,"családi ház, sorház",Használt lakások,2021. I.,69.6
Budapest,"családi ház, sorház",Használt lakások,2021. II.,69.6
Budapest,"családi ház, sorház",Használt lakások,2021. III.,70.6
Budapest,"családi ház, sorház",Használt lakások,2021. IV.,71.4
Budapest,"családi ház, sorház",Használt lakások,2022. I.,83.9
Budapest,"családi ház, sorház",Használt lakások,2022. II.,85.8
Budapest,"családi ház, sorház",Használt lakások,2022. III.,91
Budapest,"családi ház, sorház",Használt lakások,2022. IV.,77.1
Budapest,"családi ház, sorház",Használt lakások,2023. I.,80.9
Budapest,"családi ház, sorház",Használt lakások,2023. II.,81.3
Budapest,"családi ház, sorház",Használt lakások,2023. III.,84.1
Budapest,"családi ház, sorház",Használt lakások,2023. IV.,81.4
Budapest,"családi ház, sorház",Használt lakások,2024. I.,86.6
Budapest,"családi ház, sorház",Használt lakások,2024. II.,84
Budapest,"családi ház, sorház",Használt lakások,2024. III.,86.3
Budapest,"családi ház, sorház",Használt lakások,2024. IV.,88.1
Budapest,"családi ház, sorház",Használt lakások,2025. I.,91.5
Budapest,"családi ház, sorház",Használt lakások,2025. II.,96.9
Budapest,"családi ház, sorház",Használt lakások,2025. III.,104.8
Budapest,"családi ház, sorház",Használt lakások,2025. IV.,104.7
Budapest,többlakásos,Használt lakások,2021. I.,40
Budapest,többlakásos,Használt lakások,2021. II.,40.3
Budapest,többlakásos,Használt lakások,2021. III.,40.3
Budapest,többlakásos,Használt lakások,2021. IV.,42.2
Budapest,többlakásos,Használt lakások,2022. I.,46.4
Budapest,többlakásos,Használt lakások,2022. II.,50.3
Budapest,többlakásos,Használt lakások,2022. III.,50.7
Budapest,többlakásos,Használt lakások,2022. IV.,50.2
Budapest,többlakásos,Használt lakások,2023. I.,53.6
Budapest,többlakásos,Használt lakások,2023. II.,53.6
Budapest,többlakásos,Használt lakások,2023. III.,51.5
Budapest,többlakásos,Használt lakások,2023. IV.,53.2
Budapest,többlakásos,Használt lakások,2024. I.,55.5
Budapest,többlakásos,Használt lakások,2024. II.,59
Budapest,többlakásos,Használt lakások,2024. III.,57.2
Budapest,többlakásos,Használt lakások,2024. IV.,59.1
Budapest,többlakásos,Használt lakások,2025. I.,66.9
Budapest,többlakásos,Használt lakások,2025. II.,70
Budapest,többlakásos,Használt lakások,2025. III.,68.4
Budapest,többlakásos,Használt lakások,2025. IV.,67.6
Budapest,lakótelep,Használt lakások,2021. I.,27.8
Budapest,lakótelep,Használt lakások,2021. II.,28.6
Budapest,lakótelep,Használt lakások,2021. III.,29.5
Budapest,lakótelep,Használt lakások,2021. IV.,30.4
Budapest,lakótelep,Használt lakások,2022. I.,33.5
Budapest,lakótelep,Használt lakások,2022. II.,36.4
Budapest,lakótelep,Használt lakások,2022. III.,37.5
Budapest,lakótelep,Használt lakások,2022. IV.,37.1
Budapest,lakótelep,Használt lakások,2023. I.,37.6
Budapest,lakótelep,Használt lakások,2023. II.,38
Budapest,lakótelep,Használt lakások,2023. III.,37.4
Budapest,lakótelep,Használt lakások,2023. IV.,38.3
Budapest,lakótelep,Használt lakások,2024. I.,40.7
Budapest,lakótelep,Használt lakások,2024. II.,42.5
Budapest,lakótelep,Használt lakások,2024. III.,43.6
Budapest,lakótelep,Használt lakások,2024. IV.,46.3
Budapest,lakótelep,Használt lakások,2025. I.,52.7
Budapest,lakótelep,Használt lakások,2025. II.,56.6
Budapest,lakótelep,Használt lakások,2025. III.,57.6
Budapest,lakótelep,Használt lakások,2025. IV.,60.7
Budapest,együtt,Használt lakások,2021. I.,39.9
Budapest,együtt,Használt lakások,2021. II.,40.1
Budapest,együtt,Használt lakások,2021. III.,40.2
Budapest,együtt,Használt lakások,2021. IV.,41.6
Budapest,együtt,Használt lakások,2022. I.,46.3
Budapest,együtt,Használt lakások,2022. II.,50
Budapest,együtt,Használt lakások,2022. III.,50.4
Budapest,együtt,Használt lakások,2022. IV.,49.3
Budapest,együtt,Használt lakások,2023. I.,51.7
Budapest,együtt,Használt lakások,2023. II.,51.9
Budapest,együtt,Használt lakások,2023. III.,50.5
Budapest,együtt,Használt lakások,2023. IV.,51.6
Budapest,együtt,Használt lakások,2024. I.,53.8
Budapest,együtt,Használt lakások,2024. II.,57.1
Budapest,együtt,Használt lakások,2024. III.,56.2
Budapest,együtt,Használt lakások,2024. IV.,58
Budapest,együtt,Használt lakások,2025. I.,65.5
Budapest,együtt,Használt lakások,2025. II.,69
Budapest,együtt,Használt lakások,2025. III.,66.8
Budapest,együtt,Használt lakások,2025. IV.,67.7
Pest,"családi ház, sorház",Használt lakások,2021. I.,36.7
Pest,"családi ház, sorház",Használt lakások,2021. II.,36.8
