idoszak,ev,negyedev,osszevont_index,tiszta_ar_haszn,tiszta_ar_uj,budapest_atlagár_mFt,orszagos_atlagár_mFt,fejer_atlagár_mFt
2021 I.,2021,I.,196.0,193.9,208.0,,,
2021 IV.,2021,IV.,219.9,217.3,235.3,,,
2021 I.,2021,I.,109.4,109.4,109.5,,,
2021 IV.,2021,IV.,103.7,103.6,104.9,,,
2021 I.,2021,I.,109.6,108.8,115.5,,,
2021 IV.,2021,IV.,122.8,122.6,123.9,,,
2024 I.,2024,I.,301.0,294.0,345.0,,,
2024 I.,2024,I.,108.6,108.8,105.8,,,
2024 I.,2024,I.,112.0,110.8,119.0,,,
2024 IV.,2024,IV.,322.1,314.2,373.5,,,
2024 IV.,2024,IV.,104.0,103.9,104.8,,,
2024 IV.,2024,IV.,116.2,116.3,114.6,,,
2023 II.,2023,II.,271.5,265.3,313.7,,,
2023 II.,2023,II.,101.0,100.0,108.2,,,
2023 II.,2023,II.,106.4,104.9,116.6,,,
2023 I.,2023,I.,268.8,265.4,290.0,,,
2023 I.,2023,I.,104.0,104.1,103.4,,,
2023 I.,2023,I.,111.3,111.2,112.3,,,
2022 II.,2022,II.,255.2,252.8,268.9,,,
2022 IV.,2022,IV.,258.4,254.9,280.4,,,
2022 II.,2022,II.,105.7,105.9,104.2,,,
2022 IV.,2022,IV.,98.3,97.5,103.8,,,
2022 II.,2022,II.,124.9,125.2,122.7,,,
2022 IV.,2022,IV.,117.5,117.3,119.1,,,
2025 I.,2025,I.,352.3,346.2,385.1,,,
2025 I.,2025,I.,109.4,110.2,103.1,,,
2025 I.,2025,I.,117.0,117.8,111.6,,,
2025 III.,2025,III.,381.8,376.4,405.9,,,
2025 III.,2025,III.,106.8,107.4,102.6,,,
2025 III.,2025,III.,123.2,124.4,113.8,,,
2024 II.,2024,II.,306.5,299.4,350.8,,,
2024 II.,2024,II.,101.8,101.8,101.7,,,
2024 II.,2024,II.,112.9,112.9,111.8,,,
2021 III.,2021,III.,211.9,209.8,224.4,,,
2023 IV.,2023,IV.,277.4,270.2,326.0,,,
2021 III.,2021,III.,103.7,103.9,102.4,,,
2023 IV.,2023,IV.,101.7,101.2,105.1,,,
2021 III.,2021,III.,116.7,116.3,119.5,,,
2023 IV.,2023,IV.,107.3,106.0,116.3,,,
2022 I.,2022,I.,241.4,238.6,258.1,,,
2022 III.,2022,III.,263.0,261.5,270.0,,,
2022 I.,2022,I.,109.8,109.8,109.7,,,
2022 III.,2022,III.,103.0,103.4,100.4,,,
2022 I.,2022,I.,123.2,123.1,124.1,,,
2022 III.,2022,III.,124.1,124.6,120.3,,,
2021 II.,2021,II.,204.4,202.0,219.1,,,
2021 II.,2021,II.,104.3,104.2,105.3,,,
2021 II.,2021,II.,116.9,116.6,118.8,,,
2023 III.,2023,III.,272.6,267.0,310.1,,,
2024 III.,2024,III.,309.8,302.5,356.5,,,
2023 III.,2023,III.,100.4,100.6,98.8,,,
2024 III.,2024,III.,101.1,101.0,101.6,,,
2023 III.,2023,III.,103.7,102.1,114.8,,,
2024 III.,2024,III.,113.6,113.3,115.0,,,
2025 II.,2025,II.,357.4,350.7,395.6,,,
2025 IV.,2025,IV.,391.0,387.2,401.1,,,
2025 II.,2025,II.,101.4,101.3,102.7,,,
2025 IV.,2025,IV.,102.4,102.9,98.8,,,
2025 II.,2025,II.,116.6,117.1,112.7,,,
2025 IV.,2025,IV.,121.4,123.2,107.4,,,
